S.No	Name of the Faculty	Designation	Department	Google Scholar ID	Affiliation 	citations	h-index	i10-index
1	Dr.S.Malliga	Senior Professor & Head	Computer Science	https://scholar.google.com/citations?user=NSRyKhIAAAAJ&hl=en	Kongu Engineering College 	2786	27	58
2	Dr.C.S.Kanimozhi Selvi	Senior Professor	Computer Science	https://scholar.google.com/citations?user=V2ZozSoAAAAJ&hl=en	Kongu Engineering College 	788	14	20
3	Dr.R.Thamilselvan	Senior Professor	Computer Science	https://scholar.google.com/citations?user=pz-C9fkAAAAJ&hl=en	Kongu Engineering College 	599	13	16
4	Dr.N.Shanthi	Senior Professor	Computer Science	https://scholar.google.com/citations?user=rbCpLuwAAAAJ&hl=en	Kongu Engineering College 	1249	18	35
6	Dr.K.Sangeetha	Professor	Computer Science	https://scholar.google.com/citations?user=Mz3GppgAAAAJ&hl=en	Kongu Engineering College 	428	11	11
7	Dr.S.Shanthi	Professor	Computer Science	https://scholar.google.com/citations?user=EidDiWMAAAAJ&hl=en	Kongu Engineering College 	785	16	22
8	Dr.PCD.Kalaivaani	Associate Professor	Computer Science	https://scholar.google.com/citations?user=gY6q1zcAAAAJ&hl=en	Kongu Engineering College 	310	7	7
9	Dr.M.Geetha	Associate Professor	Computer Science	https://scholar.google.com/citations?user=IKqaT38AAAAJ&hl=en	Kongu Engineering College 	508	12	14
10	Dr.N.Sasipriyaa	Associate Professor	Computer Science	https://scholar.google.com/citations?user=DfAhC-IAAAAJ&hl=en	Kongu Engineering College 	123	8	6
11	Dr.K.Dinesh	Associate Professor	Computer Science	https://scholar.google.com/citations?user=wTaXtzcAAAAJ&hl=en	Kongu Engineering College 	292	9	9
12	Dr.P.S.Nandhini	Associate Professor	Computer Science	https://scholar.google.com/citations?user=xSgiExMAAAAJ&hl=en	Kongu Engineering College 	437	11	12
13	N.P.Saravanan	Assistant Professor (SLG)	Computer Science	https://scholar.google.com/citations?hl=en&user=a_DxWC0AAAAJ	Kongu Engineering College 	24	3	1
14	K.Devendran	Assistant Professor (SLG)	Computer Science	https://scholar.google.com/citations?user=fXnNXqUAAAAJ&hl=en	Kongu Engineering College 	250	7	6
15	B.Bizu	Assistant Professor (SLG)	Computer Science	https://scholar.google.com/citations?user=c0dWiXkAAAAJ&hl=en	Kongu Engineering College 	29	3	-
16	S.Mohana Saranya	Assistant Professor (SLG)	Computer Science	https://scholar.google.com/citations?user=ZhStAqYAAAAJ&hl=en	Kongu Engineering College 	249	8	7
17	S.Ramya	Assistant Professor (SRG)	Computer Science	https://scholar.google.com/citations?user=qZ7SL9AAAAAJ&hl=en	Kongu Engineering College 	38	4	1
18	C.Sagana	Assistant Professor (SRG)	Computer Science	https://scholar.google.com/citations?user=Cpl8RqQAAAAJ&hl=en	Kongu Engineering College 	412	9	7
19	S.Mohanapriya	Assistant Professor (SRG)	Computer Science	https://scholar.google.com/citations?user=4XT7jGwAAAAJ	Kongu Engineering College 	253	8	8
20	Dr.K.Venu	Assistant Professor (SLG)	Computer Science	https://scholar.google.com/citations?user=zk-RSugAAAAJ&hl=en	Kongu Engineering College 	138	7	4
21	J.Gowthami	Assistant Professor (SRG)	Computer Science	https://scholar.google.com/citations?user=7A0QoVkAAAAJ&hl=en	Kongu Engineering College 	62	5	3
22	S.Kavitha	Assistant Professor (SRG)	Computer Science	https://scholar.google.com/citations?hl=en&user=fmTqGE0AAAAJ	Kongu Engineering College 	75	4	3
23	P.Santhiya	Assistant Professor (SRG)	Computer Science	https://scholar.google.com/citations?user=WXrSKA0AAAAJ&hl=en	Kongu Engineering College 	396	10	10
25	T.E.Ramya	Assistant Professor	Computer Science	https://scholar.google.com/citations?user=gaKYmVYAAAAJ&hl=en	Kongu Engineering College 	44	3	-
26	S.Gayathri	Assistant Professor	Computer Science	https://scholar.google.co.in/citations?user=ndeialAAAAAJ	Kongu Engineering College 	12	-	-
27	R.S.Shudapreyaa	Assistant Professor	Computer Science	https://scholar.google.com.au/citations?user=w0ew9lQAAAAJ&hl=th	Kongu Engineering College 	21	3	-
29	V.Manimaran	Assistant Professor	Computer Science	https://scholar.google.com/citations?user=dyN_lioAAAAJ&hl=en	Kongu Engineering College 	20	3	-
31	C.Roopa	Assistant Professor	Computer Science	https://scholar.google.com/citations?user=gV2UjLoAAAAJ&hl=en	Kongu Engineering College 	23	3	-
32	K.Suvalakshmi	Assistant Professor	Computer Science	https://scholar.google.com/citations?user=ED4NDLMAAAAJ&hl=en	Kongu Engineering College 	14	2	-
33	K.Sureshkumar	Assistant Professor	Computer Science	https://scholar.google.com/citations?user=JGlWizkAAAAJ&hl=en	Kongu Engineering College 	24	2	1
34	T.Arunkumar	Assistant Professor	Computer Science	https://scholar.google.com/citations?user=wslvQBXAJAMC&hl=en	Kongu Engineering College 	6	2	-
35	M.Kannukkiniyal	Assistant Professor	Computer Science	https://scholar.google.com/citations?user=AzL_3XoAAAAJ&hl=en	Kongu Engineering College 	1	1	-
36	K.T.Mohana priya	Assistant Professor	Computer Science	https://scholar.google.com/citations?view_op=list_works&hl=en&user=igxZcmoAAAAJ	Kongu Engineering College 	2	1	-
37	S.Ramana	Assistant Professor	Computer Science	https://scholar.google.com/citations?user=zZQLp_MAAAAJ&hl=en	Kongu Engineering College 	1	1	-
38	S.Kalpana	Assistant Professor	Computer Science	https://scholar.google.com/citations?view_op=list_works&hl=en&user=gOTst_QAAAAJ	Kongu Engineering College 	-	-	-
39	P.Jeevitha	Assistant Professor	Computer Science	NA	Kongu Engineering College 	-	-	-
40	Dr.P.Yuvarani	Assistant Professor	Computer Science	https://scholar.google.com/citations?user=vH7wVqIAAAAJ&hl=en	Kongu Engineering College 	91	6	2
41	T.Sathya	Assistant Professor	Computer Science	https://scholar.google.com/citations?user=LXMFnJYAAAAJ&hl=en	Kongu Engineering College 	70	5	2
42	K.Sudhakar	Assistant Professor	Computer Science	https://scholar.google.com/citations?user=npqxLzUAAAAJ&hl=en	Kongu Engineering College 	-	-	-
43	A.Kiruthika	Assistant Professor	Computer Science	NA	Kongu Engineering College 	-	-	-
44	B.Kalaivani	Assistant Professor	Computer Science	https://scholar.google.com/citations?user=V96XJaYAAAAJ&hl=en	Kongu Engineering College 	1	1	-
45	S.K.Logesh	Assistant Professor (SLG)	Computer Science	https://scholar.google.com/citations?user=at8yFLMAAAAJ&hl=en	Kongu Engineering College 	15	2	-
46	R.Ravichandran	Assistant Professor	Computer Science	https://scholar.google.com/citations?view_op=list_works&hl=en&user=uIbCtpEAAAAJ	Kongu Engineering College 	4	1	-
47	S.Karthika	Assistant Professor	Computer Science	https://scholar.google.com/citations?user=86XGG24AAAAJ&hl=en&citsig=ACUpqDfc6HUzYXp0nRjERx46eZTN	Kongu Engineering College 	29	1	1
48	N. Keerthini	Assistant Professor	Computer Science	https://scholar.google.com/citations?hl=en&user=ZLEAbhMAAAAJ	Kongu Engineering College 	3	1	-
49	Madhumathi S	Assistant Professor	Computer Science	https://scholar.google.com/citations?user=ms2Qf6oAAAAJ&hl=en	Kongu Engineering College 	-	-	-
50	S.Krithika	Assistant Professor	Computer Science	https://scholar.google.com/citations?user=JqeZfXMAAAAJ&hl=en	Kongu Engineering College 	4	1	-
51	Kowsalya M	Assistant Professor	Computer Science	https://scholar.google.com/citations?user=7YECUvMAAAAJ&hl=en	Kongu Engineering College 	9	2	-
52	Madhumitha S	Assistant Professor	Computer Science	https://scholar.google.com/citations?user=3pbWwGUAAAAJ&hl=en	Kongu Engineering College 	4	1	-
